id,applemusic,youtube,spotify
1,1558495572,YktD3GXK-kU,61MsKclgxBLHoBegbVBdii
2,288667610,5COd3r7sXOw,3rfqUCuMEv0a1cXVS1Y3lt
3,288667614,rc6mibQAdUQ,5HrOgJz1druK0xDd0rfXKt
4,288667620,dudZdVEvK8Q,3kij9paFcI0oZx0ATXIGwJ
5,288667625,G_z1tqeaAu0,6OA5CzZsTRRGJ62jWKSIOQ
6,288667660,KQQnDU7ZZvw,6HwhgGNv9hnNtrYisd5cvE
7,288667663,hnjrtoq-HMM,26azVSkVCISwXD6SKPFkm4
8,288667667,GJfAFFtVRkw,6JL8R68CdAZjsk03ykPH2e
9,288667671,HQm6gFJj2TQ,2LTNyRC7g4MnaHPz2vYw1l
10,288667675,ivvHsYGcsHg,5xhITPvDmFxuR6or8rf4Do
11,288667679,lwCwE2qbLB4,4PnRBJM3f1Cstynf4sGcIe
